Date,Liters,Cost,Trip_km,Odo_km,Odo_Actual,Odo_Diff
23 Dec 2014,45.60,€52.39,942.9,80971.0,80970.9,0.1
01 Jan 2015,43.43,€48.60,784.3,81755.0,81755.3,(0.3)
21 Jan 2015,27.91,€31.79,811.8,82567.0,82566.8,0.2
25 Jan 2015,45.45,€53.59,582.6,83150.0,83149.6,0.4
29 Jan 2015,45.74,€49.81,865.8,84016.0,84015.8,0.2
07 Feb 2015,45.92,€57.35,824.2,84840.0,84840.2,(0.2)
23 Feb 2015,44.98,€57.53,827.8,85668.0,85667.8,0.2
02 Mar 2015,44.16,€56.04,850.3,86518.0,86518.3,(0.3)
20 Mar 2015,35.81,€42.22,686.5,87205.0,87204.5,0.5
22 Mar 2015,46.65,€55.00,950.7,88156.0,88155.7,0.3
27 Mar 2015,43.70,€51.52,793.8,88949.0,88949.8,(0.8)
31 Mar 2015,44.32,€37.05,849.9,89799.0,89798.9,0.1
05 Apr 2015,43.63,€36.04,974.0,90773.0,90773.0,0.0
17 Apr 2015,46.96,€61.94,868.5,91642.0,91641.5,0.5
21 Apr 2015,45.79,€56.28,823.0,92465.0,92465.0,0.0
24 Apr 2015,41.79,€53.45,788.7,93254.0,93253.7,0.3
25 Apr 2015,47.53,€38.69,899.0,94153.0,94153.0,0.0
30 Apr 2015,46.32,€56.00,844.4,94997.0,94997.4,(0.4)
04 May 2015,48.58,€39.93,931.7,95929.0,95928.7,0.3
05 May 2015,48.41,€59.01,955.0,96884.0,96884.0,0.0
10 May 2015,31.51,€41.25,621.4,97505.0,97505.4,(0.4)
12 May 2015,43.72,€36.46,875.7,98381.0,98380.7,0.3
17 May 2015,43.66,€60.21,927.4,99308.0,99308.4,(0.4)
18 May 2015,39.67,€47.96,773.7,100082.0,100081.7,0.3
21 May 2015,45.38,€62.13,985.8,101068.0,101067.8,0.2
23 May 2015,44.18,€55.18,874.0,101942.0,101942.0,0.0
28 May 2015,47.37,€57.27,935.1,102877.0,102877.1,(0.1)
02 Jun 2015,46.82,€58.95,938.1,103815.0,103815.1,(0.1)
10 Jun 2015,48.40,€41.04,968.3,104783.0,104783.3,(0.3)
14 Jun 2015,39.98,€55.13,796.5,105579.0,105579.5,(0.5)
16 Jun 2015,45.82,€56.31,895.5,106479.0,106474.5,4.5
20 Jun 2015,45.24,€55.15,948.9,107428.0,107427.9,0.1
23 Jun 2015,45.02,€61.18,950.4,108378.0,108378.4,(0.4)
26 Jun 2015,46.83,€57.09,935.3,109314.0,109313.3,0.7
01 Jul 2015,49.36,€57.70,916.6,110230.0,110230.6,(0.6)
06 Jul 2015,46.64,€63.38,889.1,111119.0,111119.1,(0.1)
10 Jul 2015,46.70,€63.47,946.0,112065.0,112065.0,0.0
14 Jul 2015,44.57,€37.57,834.4,112900.0,112899.4,0.6
17 Jul 2015,46.73,€39.39,955.7,113856.0,113855.7,0.3
21 Jul 2015,37.82,€31.69,709.6,114565.0,114565.6,(0.6)
23 Jul 2015,25.96,€21.75,474.8,115040.0,115039.8,0.2
29 Jul 2015,47.49,€53.04,916.3,115956.0,115956.3,(0.3)
01 Aug 2015,43.33,€55.85,884.7,116841.0,116840.7,0.3
04 Aug 2015,43.47,€35.38,854.0,117695.0,117695.0,0.0
07 Aug 2015,47.63,€38.77,947.3,118643.0,118642.3,0.7
20 Aug 2015,47.23,€50.49,909.2,119552.0,119552.2,(0.2)
08 Sep 2015,48.47,€61.99,883.5,120435.0,120435.5,(0.5)
11 Sep 2015,45.66,€49.27,928.8,121364.0,121363.8,0.2
15 Sep 2015,49.29,€37.66,963.1,122327.0,122327.1,(0.1)
18 Sep 2015,45.82,€35.01,815.9,123143.0,123142.9,0.1
20 Sep 2015,48.73,€54.53,974.3,124118.0,124117.3,0.7
24 Sep 2015,46.36,€35.23,919.5,125037.0,125037.5,(0.5)
29 Sep 2015,46.00,€60.67,850.8,125888.0,125887.8,0.2
05 Oct 2015,47.84,€61.19,915.9,126804.0,126803.9,0.1
13 Oct 2015,49.07,€36.95,912.4,127717.0,127716.4,0.6
19 Oct 2015,49.24,€62.49,920.1,128637.0,128637.1,(0.1)
26 Oct 2015,44.84,€34.21,799.0,129436.0,129436.0,0.0
02 Nov 2015,48.25,€36.43,910.2,130346.0,130346.2,(0.2)
06 Nov 2015,48.24,€36.42,905.7,131252.0,131251.7,0.3
11 Nov 2015,41.88,€31.45,733.4,131985.0,131985.4,(0.4)
16 Nov 2015,44.31,€33.50,795.6,132781.0,132780.6,0.4
23 Nov 2015,46.37,€52.35,929.5,133711.0,133710.5,0.5
01 Dec 2015,45.60,€58.32,800.1,134511.0,134511.1,(0.1)
05 Dec 2015,47.14,€61.71,861.7,135372.0,135372.7,(0.7)
11 Dec 2015,46.23,€33.93,780.3,136153.0,136152.3,0.7
15 Dec 2015,22.76,€29.86,409.6,136561.0,136562.6,(1.6)
22 Dec 2015,45.49,€53.63,852.4,137414.0,137413.4,0.6
23 Dec 2015,39.90,€38.26,794.0,138208.0,138208.0,0.0
27 Dec 2015,38.96,€34.60,751.4,138959.0,138959.4,(0.4)
04 Jan 2016,38.24,€33.96,727.6,139687.0,139686.6,0.4
16 Jan 2016,31.66,€27.35,495.7,140183.0,140182.7,0.3
25 Jan 2016,50.38,€42.67,869.9,141052.0,141052.9,(0.9)
11 Feb 2016,47.75,€41.73,831.3,141884.0,141883.3,0.7
14 Feb 2016,46.19,€39.08,831.6,142715.0,142715.6,(0.6)
,,,828.0,143543.0,143543.0,0.0
22 Feb 2016,42.28,€44.77,751.1,144295.0,144294.1,0.9
03 Mar 2016,48.63,€43.09,847.8,145143.0,145142.8,0.2
15 Mar 2016,39.39,€34.94,668.6,145811.0,145811.6,(0.6)
27 Mar 2016,48.24,€42.79,878.2,146690.0,146689.2,0.8
03 Apr 2016,45.13,€57.27,829.0,147519.0,147519.0,0.0
10 Apr 2016,47.37,€39.93,900.0,148419.0,148419.0,0.0
22 Apr 2016,41.93,€37.57,694.3,149113.0,149113.3,(0.3)
13 May 2016,43.45,€39.06,729.3,149843.0,149842.3,0.7
29 May 2016,42.38,€40.30,785.7,150628.0,150628.7,(0.7)
13 Jun 2016,40.41,€38.43,626.1,151254.0,151254.1,(0.1)
24 Jun 2016,50.74,€48.25,818.5,152073.0,152072.5,0.5
01 Jul 2016,48.31,€45.94,943.6,153017.0,153016.6,0.4
18 Jul 2016,45.88,€42.76,765.3,153782.0,153782.3,(0.3)
26 Jul 2016,44.48,€41.46,804.0,154586.0,154586.0,0.0
05 Aug 2016,46.71,€41.76,808.8,155395.0,155394.8,0.2
